,Shared_252d_MinVar_VolTarget_Sleeve,Shared_252d_EWMAMinVar_VolTarget_Sleeve,Shared_252d_MinVar_VolTarget_Sleeve_Cap,Shared_252d_Ensemble_50_50,Shared_252d_EWMAMinVar_VolTarget_Sleeve_Cap,Shared_252d_EWMA_Ensemble_50_50,Shared_252d_Cap_Ensemble_50_50,Shared_252d_EWMA_Cap_Ensemble_50_50
2011-05-31,-0.01032483600886181,-0.010396830132165372,-0.009893872285326673,-0.010992979370373504,-0.010396830132165372,-0.011028976432025286,-0.010777497508605936,-0.011028976432025286
2011-06-30,-0.017222427603987095,-0.01723842522055448,-0.017222427603987095,-0.017580169296025246,-0.01723842522055448,-0.017588168104308938,-0.017580169296025246,-0.017588168104308938
2011-07-29,0.030796200652574234,0.03048117992131964,0.03032234956886707,0.015335546770024166,0.02986969597086532,0.015178036404396869,0.015098621228170584,0.01487229442916971
2011-08-31,0.04608650606504623,0.04583155942299369,0.04608650606504623,0.04984215235824692,0.04583155942299369,0.04971467903722064,0.04984215235824692,0.04971467903722064
2011-09-30,0.008733888817990415,0.009079949453552403,-0.030826947520118143,-0.007457638406137143,-0.030826947520118136,-0.007284608088356149,-0.027238056575191422,-0.02723805657519142
2011-10-31,0.0053131363391887565,0.004717548226777019,0.0053131363391887565,0.008373882363153479,0.004717548226777019,0.00807608830694761,0.008373882363153479,0.00807608830694761
2011-11-30,0.017212375361613165,0.01720860422491805,0.017212375361613165,0.017257479214028933,0.01720860422491805,0.017255593645681376,0.017257479214028933,0.017255593645681376
2011-12-30,-0.023776486536187483,-0.02503874023984207,-0.023776486536187483,-0.030124353522058042,-0.02503874023984207,-0.030755480373885334,-0.030124353522058042,-0.030755480373885334
2012-01-31,0.0086192794349544,0.0086192794349544,0.0086192794349544,0.0085475165760313,0.0086192794349544,0.0085475165760313,0.0085475165760313,0.0085475165760313
2012-02-29,-0.02711594352707869,-0.02710299393144,-0.027441862381621822,-0.027217936361989242,-0.027441862381621822,-0.027211461564169898,-0.027380895789260812,-0.027380895789260812
2012-03-30,-0.031897569397397095,-0.03206229267126607,-0.030803506886928105,-0.030238722383557397,-0.0307986438322276,-0.030321084020491884,-0.0296916911283229,-0.02968925960097265
2012-04-30,0.0183239813750666,0.0183239813750666,0.0183239813750666,0.01537564078594255,0.0183239813750666,0.01537564078594255,0.01537564078594255,0.01537564078594255
2012-05-31,0.0286954271452122,0.0286954271452122,0.0286954271452122,0.0376740555768638,0.0286954271452122,0.0376740555768638,0.0376740555768638,0.0376740555768638
2012-06-29,-0.0041432671672807,-0.0041432671672807,-0.0041432671672807,-0.00595107228093745,-0.0041432671672807,-0.00595107228093745,-0.00595107228093745,-0.00595107228093745
